               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030209,           0.0096707,            0.013699,             0.96126,             0.96261,             0.98326,              0.6373,            0.021236,           0.0042833,           0.0022606,             0.00307,             0.00307,             0.00307
                  37,            0.030698,           0.0096722,            0.013569,               0.963,             0.96311,             0.98716,             0.63495,            0.021606,           0.0042604,            0.002106,            0.002872,            0.002872,            0.002872
                  38,            0.030031,           0.0096667,            0.012983,             0.96764,             0.97854,             0.98633,             0.63885,            0.020744,           0.0041814,           0.0016384,            0.002674,            0.002674,            0.002674
                  39,            0.029551,           0.0096086,            0.012965,             0.96245,             0.96124,             0.97893,             0.63059,            0.022076,           0.0042425,           0.0034075,            0.002476,            0.002476,            0.002476
                  40,            0.030032,           0.0095726,            0.012116,             0.97041,             0.96673,             0.98323,             0.64842,            0.020228,           0.0040766,            0.002072,            0.002278,            0.002278,            0.002278
                  41,            0.029343,           0.0095213,            0.011899,             0.96606,             0.96262,             0.97935,              0.6355,            0.021154,           0.0041422,           0.0022479,             0.00208,             0.00208,             0.00208
                  42,            0.028823,           0.0096115,            0.011376,             0.96701,             0.95982,             0.97791,             0.64047,            0.021153,           0.0042269,           0.0024558,            0.001882,            0.001882,            0.001882
                  43,            0.028527,           0.0095131,            0.010994,             0.95934,              0.9688,             0.98219,             0.63588,            0.021578,           0.0042187,           0.0019475,            0.001684,            0.001684,            0.001684
                  44,            0.028481,           0.0093975,            0.011209,             0.96689,             0.96965,             0.98199,             0.63545,            0.020638,           0.0041902,           0.0019796,            0.001486,            0.001486,            0.001486
                  45,            0.028095,           0.0093272,            0.010706,             0.96788,             0.96468,             0.98262,             0.63104,            0.021235,           0.0042154,           0.0015842,            0.001288,            0.001288,            0.001288
                  46,            0.027559,           0.0091929,           0.0099233,             0.96997,             0.97446,             0.98559,             0.64038,            0.020892,           0.0041434,           0.0017347,             0.00109,             0.00109,             0.00109
                  47,            0.027697,           0.0092335,           0.0097761,             0.97534,              0.9757,             0.98392,             0.63644,            0.020982,           0.0041712,           0.0016614,            0.000892,            0.000892,            0.000892
                  48,             0.02709,           0.0091882,           0.0098715,             0.96463,             0.97256,             0.98274,             0.65042,            0.020669,           0.0041377,               0.002,            0.000694,            0.000694,            0.000694
                  49,            0.026801,           0.0092705,            0.009514,             0.97581,             0.96801,             0.98281,             0.64946,            0.020828,            0.004118,           0.0014889,            0.000496,            0.000496,            0.000496
